Year,Value,SERIES
2013,0.9,Death rate due to mental diseases and substance abuse (%)
2013,5.0,Death rate due to diarrheal diseases (%)
2013,4.7,Burden of cardiovascular diseases in all diseases(%)
2013,2.0,Burden of cancers in all diseases (%)
2013,1.4,Burden of chronic respiratory diseases in all diseases (%)
2013,3.5,Burden of mental diseases and substance abuse in all diseases (%)
2013,5.6,Burden of diarrheal diseases in all diseases (%)
2013,10.1,Burden of low respiratory infections in all diseases (%)
2013,2.9,Burden of unintentional accidents in all diseases (%)
2013,11.6,Death rate due to cardiovascular diseases (%)
2013,4.5,Death rate due to cancer (%)
2013,1.5,Death rate due to chronic respiratory diseases (%)
2013,10.5,Death rate due to low respiratory infections (%)
2013,2.9,Death rate due to unintentional accidents (%)
