Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_01,,Urban,Percent,,36.7
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_02,,Rural,Percent,,80.6
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_03,,Urban,Percent,,13.0
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_03,,Rural,Percent,,7.0
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_03,,,Percent,,9.8
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_04,,Urban,Percent,,44.8
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_04,,Rural,Percent,,82.5
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_04,,,Percent,,64.7
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_05,,Urban,Percent,,4.7
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_05,,Rural,Percent,,2.4
2011,Normal value,Units,Country Data,National_SDG_Report,_L_CM_010402_05,,,Percent,,3.5
