Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2017,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes au sénat (%),,Pour cent,,20.0
2020,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes au sénat (%),,Pour cent,,26.0
2023,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes au sénat (%),,Pour cent,,33.0
2017,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes à l'assemblée nationale (%),,Pour cent,,30.6
2018,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes à l'assemblée nationale (%),,Pour cent,,31.11
2023,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes à l'assemblée nationale (%),,Pour cent,,33.89
2017,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes Maires (%),,Pour cent,,8.3
2023,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes Maires (%),,Pour cent,,10.16
2017,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes adjoints au maire (%),,Pour cent,,31.8
2023,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes adjoints au maire (%),,Pour cent,,34.13
2015,Valeur Normale,Unité,C,National_SDG_Report,Proportion des femmes dans la sphère du commandement territorial (%),,Pour cent,,6.0
