Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,Milieu de résidence,Niveau d'Etude,UNIT_MEASURE,GeoCode,Value
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,Urbain,,Pour cent,,15.6
2018,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,Urbain,,Pour cent,,5.4
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,Rural,,Pour cent,,11.4
2018,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,Rural,,Pour cent,,2.5
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,,Sans niveau scolaire,Pour cent,,5.0
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,,Primaire,Pour cent,,15.7
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,,Secondaire,Pour cent,,18.7
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,,Enseignement Supérieur,Pour cent,,12.3
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,,,Pour cent,,13.3
2018,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans,actuellement mariées ou en union, utilisant  une méthode de contraception traditionnelle (%)",,,,Pour cent,,3.9
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,Urbain,,Pour cent,,26.7
2018,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,Urbain,,Pour cent,,20.7
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,Rural,,Pour cent,,16.3
2018,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,Rural,,Pour cent,,10.6
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,,Sans niveau scolaire,Pour cent,,9.9
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,,Primaire,Pour cent,,21.9
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,,Secondaire,Pour cent,,28.8
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,,Enseignement Supérieur,Pour cent,,36.3
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,,,Pour cent,,21.0
