Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,,Urban,Percent,,60.8
2016,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,,Urban,Percent,,90.5
2014,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,,Rural,Percent,,14.9
2016,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,,Rural,Percent,,16.3
2014,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,,,Percent,,33.4
2016,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,,,Percent,,63.0
2021,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,,,Percent,,79.7
2021,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,Female,,Percent,,79.8
2021,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,Male,,Percent,,79.7
2021,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,,Urban,Percent,,91.2
2021,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to potable water (%),,,Rural,Percent,,65.1
2014,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to electricity (%),,,Urban,Percent,,96.2
2014,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to electricity (%),,,Rural,Percent,,31.7
2014,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to electricity (%),,,,Percent,,58.4
2016,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to electricity (%),,,,Percent,,53.0
2021,Normal value,Units,Country Data,National Institute of Statistics,Proportion of population living in households with access to electricity (%),,,,Percent,,59.1
