Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2011,A,0,C,National_SDG_Report,_L_CM_010402_1,,,PT,2011,,59.8
2011,A,0,C,National_SDG_Report,_L_CM_010402_1,,R,PT,2011,,80.6
2011,A,0,C,National_SDG_Report,_L_CM_010402_1,,U,PT,2011,,36.7
2011,A,0,C,National_SDG_Report,_L_CM_010402_2,,,PT,2011,,9.8
2011,A,0,C,National_SDG_Report,_L_CM_010402_2,,R,PT,2011,,7.0
2011,A,0,C,National_SDG_Report,_L_CM_010402_2,,U,PT,2011,,13.0
2011,A,0,C,National_SDG_Report,_L_CM_010402_3,,,PT,2011,,64.7
2011,A,0,C,National_SDG_Report,_L_CM_010402_3,,R,PT,2011,,82.5
2011,A,0,C,National_SDG_Report,_L_CM_010402_3,,U,PT,2011,,44.8
2011,A,0,C,National_SDG_Report,_L_CM_010402_4,,,PT,2011,,3.5
2011,A,0,C,National_SDG_Report,_L_CM_010402_4,,R,PT,2011,,2.4
2011,A,0,C,National_SDG_Report,_L_CM_010402_4,,U,PT,2011,,4.7
