Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2016,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Courant (en milliards de Francs CFA),,Francs CFA XAF,,20038.566
2017,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Courant (en milliards de Francs CFA),,Francs CFA XAF,,20960.865
2018,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Courant (en milliards de Francs CFA),,Francs CFA XAF,,22203.329
2019,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Courant (en milliards de Francs CFA),,Francs CFA XAF,,23243.662
2020,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Courant (en milliards de Francs CFA),,Francs CFA XAF,,23468.507
2021,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Courant (en milliards de Francs CFA),,Francs CFA XAF,,24960.496
2022,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Courant (en milliards de Francs CFA),,Francs CFA XAF,,27662.02
2023,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Courant (en milliards de Francs CFA),,Francs CFA XAF,,29609.383
2024,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Courant (en milliards de Francs CFA),,Francs CFA XAF,,32316.227
2016,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Réel (Base 100 Année 2016) en Milliards de Francs CFA,,Francs CFA XAF,,20038.566
2017,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Réel (Base 100 Année 2016) en Milliards de Francs CFA,,Francs CFA XAF,,20748.167
2018,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Réel (Base 100 Année 2016) en Milliards de Francs CFA,,Francs CFA XAF,,21568.8637
2019,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Réel (Base 100 Année 2016) en Milliards de Francs CFA,,Francs CFA XAF,,22318.389793
2020,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Réel (Base 100 Année 2016) en Milliards de Francs CFA,,Francs CFA XAF,,22376.407505
2021,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Réel (Base 100 Année 2016) en Milliards de Francs CFA,,Francs CFA XAF,,23123.523859
2022,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Réel (Base 100 Année 2016) en Milliards de Francs CFA,,Francs CFA XAF,,23987.628883
2023,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Réel (Base 100 Année 2016) en Milliards de Francs CFA,,Francs CFA XAF,,24790.578235
2024,Valeur Normale,Milliards,C,National Institute of Statistics,PIB Réel (Base 100 Année 2016) en Milliards de Francs CFA,,Francs CFA XAF,,25664.361764
2017,Valeur Normale,Unité,C,National Institute of Statistics,Taux de croissance réel du PIB (%),,Pour cent,,3.541177
2018,Valeur Normale,Unité,C,National Institute of Statistics,Taux de croissance réel du PIB (%),,Pour cent,,3.955514
2019,Valeur Normale,Unité,C,National Institute of Statistics,Taux de croissance réel du PIB (%),,Pour cent,,3.475037
2020,Valeur Normale,Unité,C,National Institute of Statistics,Taux de croissance réel du PIB (%),,Pour cent,,0.259955
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de croissance réel du PIB (%),,Pour cent,,3.338857
2022,Valeur Normale,Unité,C,National Institute of Statistics,Taux de croissance réel du PIB (%),,Pour cent,,3.736909
2023,Valeur Normale,Unité,C,National Institute of Statistics,Taux de croissance réel du PIB (%),,Pour cent,,3.347348
2024,Valeur Normale,Unité,C,National Institute of Statistics,Taux de croissance réel du PIB (%),,Pour cent,,3.52466
2016,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,3797.304
2017,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,3846.549
2018,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,4160.072
2019,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,4613.888
2020,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,3575.625
2021,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,4120.675
2022,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,5344.759
2023,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,4990.045
2024,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,5064.981
2016,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,4346.095
2017,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,4369.905
2018,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,4851.727
2019,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,5468.867
2020,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,4342.41
2021,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,5047.519
2022,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,6075.897
2023,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,6229.076
2024,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix courant),,Francs CFA XAF,,6052.784
2016,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,3797.304
2017,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,3737.652
2018,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,3817.240187
2019,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,4245.647328
2020,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,3635.926654
2021,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,3762.58528
2022,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,3871.56459
2023,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,3885.025493
2024,Valeur Normale,Milliards,C,National Institute of Statistics,Exportations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,3688.807783
2016,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,4346.095
2017,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,4293.662
2018,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,4657.334235
2019,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,5186.229636
2020,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,4301.868259
