Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),,Pour cent,,31.4
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),ADAMAOUA,Pour cent,CM_AD,38.8
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),EST,Pour cent,CM_ES,27.6
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),Extrême-Nord,Pour cent,CM_EN,60.4
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),NORD,Pour cent,CM_NO,44.0
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),NORD-OUEST,Pour cent,CM_NW,53.1
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),OUEST,Pour cent,CM_OU,26.3
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),SUD,Pour cent,CM_SU,13.2
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),SUD-OUEST,Pour cent,CM_SW,25.5
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),CENTRE (Hormis YAOUNDE),Pour cent,CM_CE_Sans_YDE,20.3
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),LITTORAL (Hormis DOUALA),Pour cent,CM_LT_Sans_DLA,23.9
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),YAOUNDE,Pour cent,CM_YDE,6.6
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion de personnes dont la dépense est inférieure de plus de 50% à la dépense moyenne (%),DOUALA,Pour cent,CM_DLA,4.1
