Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2016,A,9,C,National_SDG_Report,PIB Courant (en milliards de Francs CFA),,CUR_LCU,2023,,20038.566
2017,A,9,C,National_SDG_Report,PIB Courant (en milliards de Francs CFA),,CUR_LCU,2023,,20960.865
2018,A,9,C,National_SDG_Report,PIB Courant (en milliards de Francs CFA),,CUR_LCU,2023,,22203.329
2019,A,9,C,National_SDG_Report,PIB Courant (en milliards de Francs CFA),,CUR_LCU,2023,,23243.662
2020,A,9,C,National_SDG_Report,PIB Courant (en milliards de Francs CFA),,CUR_LCU,2023,,23468.507
2021,A,9,C,National_SDG_Report,PIB Courant (en milliards de Francs CFA),,CUR_LCU,2023,,24960.496
2022,A,9,C,National_SDG_Report,PIB Courant (en milliards de Francs CFA),,CUR_LCU,2023,,27662.02
2023,A,9,C,National_SDG_Report,PIB Courant (en milliards de Francs CFA),,CUR_LCU,2023,,29891.403
2015,A,9,C,National_SDG_Report,Importations des biens (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,CUR_LCU,2022,,3503.1
2016,A,9,C,National_SDG_Report,Importations des biens (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,CUR_LCU,2022,,3500.3
2017,A,9,C,National_SDG_Report,Importations des biens (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,CUR_LCU,2022,,3394.7
2018,A,9,C,National_SDG_Report,Importations des biens (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,CUR_LCU,2022,,3740.6
2019,A,9,C,National_SDG_Report,Importations des biens (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,CUR_LCU,2022,,4219.1
2020,A,9,C,National_SDG_Report,Importations des biens (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,CUR_LCU,2022,,3534.9
2021,A,9,C,National_SDG_Report,Importations des biens (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,CUR_LCU,2022,,4141.2
2022,A,9,C,National_SDG_Report,Importations des biens (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,CUR_LCU,2022,,4414.4
2015,A,9,C,National_SDG_Report,Importations des services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,CUR_LCU,2022,,792.8
