Year,SERIES,REF_AREA,URBANISATION,TIME_DETAIL,GeoCode,Value
2014,_L_CM_070101_1,,,2016,,20.1
2016,_L_CM_070101_1,,,2016,,21.9
2014,_L_CM_070101_1,,R,2016,,3.8
2016,_L_CM_070101_1,,R,2016,,3.7
2014,_L_CM_070101_1,,U,2016,,44.1
2016,_L_CM_070101_1,,U,2016,,53.2
2014,_L_CM_070101_1,CM_AD,,2014,CM_AD,9.6
2014,_L_CM_070101_1,CM_CE_Sans_YDE,,2014,CM_CE_Sans_YDE,12.5
2014,_L_CM_070101_1,CM_DLA,,2014,CM_DLA,55.2
2014,_L_CM_070101_1,CM_EN,,2014,CM_EN,1.2
2014,_L_CM_070101_1,CM_ES,,2014,CM_ES,5.4
2014,_L_CM_070101_1,CM_LT_Sans_DLA,,2014,CM_LT_Sans_DLA,16.7
2014,_L_CM_070101_1,CM_NO,,2014,CM_NO,2.5
2014,_L_CM_070101_1,CM_NW,,2014,CM_NW,8.4
2014,_L_CM_070101_1,CM_OU,,2014,CM_OU,7.0
2014,_L_CM_070101_1,CM_SU,,2014,CM_SU,15.7
2014,_L_CM_070101_1,CM_SW,,2014,CM_SW,23.5
2014,_L_CM_070101_1,CM_YDE,,2014,CM_YDE,59.0
2014,EG_ACS_ELEC,,,2016,,58.4
2016,EG_ACS_ELEC,,,2016,,53.0
2014,EG_ACS_ELEC,,R,2016,,32.8
2016,EG_ACS_ELEC,,R,2016,,28.4
2014,EG_ACS_ELEC,,U,2016,,96.2
2016,EG_ACS_ELEC,,U,2016,,95.4
2014,EG_ACS_ELEC,CM_AD,,2014,CM_AD,41.5
2014,EG_ACS_ELEC,CM_CE_Sans_YDE,,2014,CM_CE_Sans_YDE,69.1
2014,EG_ACS_ELEC,CM_DLA,,2014,CM_DLA,98.4
2014,EG_ACS_ELEC,CM_EN,,2014,CM_EN,22.1
2014,EG_ACS_ELEC,CM_ES,,2014,CM_ES,33.0
2014,EG_ACS_ELEC,CM_LT_Sans_DLA,,2014,CM_LT_Sans_DLA,80.1
2014,EG_ACS_ELEC,CM_NO,,2014,CM_NO,23.0
2014,EG_ACS_ELEC,CM_NW,,2014,CM_NW,49.6
2014,EG_ACS_ELEC,CM_OU,,2014,CM_OU,68.9
2014,EG_ACS_ELEC,CM_SU,,2014,CM_SU,72.3
2014,EG_ACS_ELEC,CM_SW,,2014,CM_SW,66.1
2014,EG_ACS_ELEC,CM_YDE,,2014,CM_YDE,99.1
