Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,Sexe,Milieu de résidence,UNIT_MEASURE,GeoCode,Value
2014,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,Urbain,Pour cent,,7.1
2016,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,Urbain,Pour cent,,6.7
2014,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,Rural,Pour cent,,0.9
2016,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,Rural,Pour cent,,0.6
2014,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,Féminin,,Pour cent,,3.8
2016,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,Féminin,,Pour cent,,3.0
2014,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,Masculin,,Pour cent,,2.9
2016,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,Masculin,,Pour cent,,2.3
2014,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,,Pour cent,,3.3
2016,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,,Pour cent,,2.6
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,,Pour cent,,3.8
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),ADAMAOUA,,,Pour cent,CM_AD,4.3
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),EST,,,Pour cent,CM_ES,3.0
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),Extrême-Nord,,,Pour cent,CM_EN,0.4
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),NORD,,,Pour cent,CM_NO,1.8
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),NORD-OUEST,,,Pour cent,CM_NW,3.6
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),OUEST,,,Pour cent,CM_OU,1.8
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),SUD,,,Pour cent,CM_SU,5.5
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),SUD-OUEST,,,Pour cent,CM_SW,4.4
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),DOUALA,,,Pour cent,CM_DLA,9.1
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),YAOUNDE,,,Pour cent,CM_YDE,10.0
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),LITTORAL (Hormis DOUALA),,,Pour cent,CM_LT_Sans_DLA,2.0
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),CENTRE (Hormis YAOUNDE),,,Pour cent,CM_CE_Sans_YDE,1.5
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,Féminin,,Pour cent,,4.5
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,Masculin,,Pour cent,,3.1
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,Urbain,Pour cent,,8.1
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,Rural,Pour cent,,1.4
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,,Pour cent,,6.1
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),ADAMAOUA,,,Pour cent,CM_AD,1.8
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),EST,,,Pour cent,CM_ES,1.6
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),Extrême-Nord,,,Pour cent,CM_EN,1.6
