Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
1991,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité des enfants de moins de 5 ans (Décès pour 1000 naissances vivantes),,"Pour 1,000 naissances vivantes",,125
1998,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité des enfants de moins de 5 ans (Décès pour 1000 naissances vivantes),,"Pour 1,000 naissances vivantes",,151
2004,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité des enfants de moins de 5 ans (Décès pour 1000 naissances vivantes),,"Pour 1,000 naissances vivantes",,144
2011,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité des enfants de moins de 5 ans (Décès pour 1000 naissances vivantes),,"Pour 1,000 naissances vivantes",,122
2014,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité des enfants de moins de 5 ans (Décès pour 1000 naissances vivantes),,"Pour 1,000 naissances vivantes",,112
2018,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité des enfants de moins de 5 ans (Décès pour 1000 naissances vivantes),,"Pour 1,000 naissances vivantes",,79
1991,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité infantile,,"Pour 1,000 naissances vivantes",,64
1998,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité infantile,,"Pour 1,000 naissances vivantes",,77
2004,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité infantile,,"Pour 1,000 naissances vivantes",,74
2011,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité infantile,,"Pour 1,000 naissances vivantes",,62
2014,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité infantile,,"Pour 1,000 naissances vivantes",,66
2018,Valeur Normale,Unité,C,National Institute of Statistics,Taux de mortalité infantile,,"Pour 1,000 naissances vivantes",,48
