Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030401_01,,Percent,,4.7
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030401_02,,Percent,,2.0
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030401_03,,Percent,,1.4
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030401_05,,Percent,,5.6
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030401_06,,Percent,,10.1
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030401_07,,Percent,,2.9
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030401_08,,Percent,,11.6
2013,Normal value,Units,Country Data,National_SDG_Report,_L_CM_030401_09,,Percent,,4.5
2013,Normal value,Units,Country Data,National_SDG_Report,Death rate due to chronic respiratory diseases (%),,Percent,,1.5
2013,Normal value,Units,Country Data,National_SDG_Report,Death rate due to mental diseases and substance abuse (%),,Percent,,0.9
2013,Normal value,Units,Country Data,National_SDG_Report,Death rate due to diarrheal diseases (%),,Percent,,5.0
2013,Normal value,Units,Country Data,National_SDG_Report,Death rate due to low respiratory infections (%),,Percent,,10.5
2013,Normal value,Units,Country Data,National_SDG_Report,Death rate due to unintentional accidents (%),,Percent,,2.9
