Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",,Urban,Percent,,44.1
2016,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",,Urban,Percent,,53.2
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",,Rural,Percent,,3.8
2016,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",,Rural,Percent,,3.7
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",,,Percent,,20.1
2016,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",,,Percent,,21.9
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",ADAMAWA,,Percent,CM_AD,9.6
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",EAST,,Percent,CM_ES,5.4
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",FAR NORTH,,Percent,CM_EN,1.2
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",NORTH,,Percent,CM_NO,2.5
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",NORTH WEST,,Percent,CM_NW,8.4
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",WEST,,Percent,CM_OU,7.0
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",SOUTH,,Percent,CM_SU,15.7
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",SOUTH WEST,,Percent,CM_SW,23.5
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",CENTRE (Excluding YAOUNDE),,Percent,CM_CE_Sans_YDE,12.5
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",LITTORAL (Excluding DOUALA),,Percent,CM_LT_Sans_DLA,16.7
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",YAOUNDE,,Percent,CM_YDE,59.0
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",DOUALA,,Percent,CM_DLA,55.2
2021,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",,,Percent,,25.1
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",,Urban,Percent,,41.0
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",,Rural,Percent,,92.7
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",,,Percent,,71.9
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",ADAMAWA,,Percent,CM_AD,83.6
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",EAST,,Percent,CM_ES,90.3
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",FAR NORTH,,Percent,CM_EN,93.8
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",NORTH,,Percent,CM_NO,93.2
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",NORTH WEST,,Percent,CM_NW,88.7
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",WEST,,Percent,CM_OU,88.7
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",SOUTH,,Percent,CM_SU,77.9
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",SOUTH WEST,,Percent,CM_SW,69.6
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",CENTRE (Excluding YAOUNDE),,Percent,CM_CE_Sans_YDE,81.6
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",LITTORAL (Excluding DOUALA),,Percent,CM_LT_Sans_DLA,76.5
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",YAOUNDE,,Percent,CM_YDE,26.0
2014,Normal value,Units,Country Data,National_SDG_Report,"Proportion of the population using wood or its derivatives (sawdust / wood chips, etc.) for cooking (%)",DOUALA,,Percent,CM_DLA,25.2
