Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
1991,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",2018,,64
1998,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",2018,,77
2004,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",2018,,74
2011,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",2018,,62
2014,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",2018,,66
2018,Normal value,Units,Country Data,National_SDG_Report,Infant mortality rate [3.2.1],,"Per 1,000 live births",2018,,48
1991,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",2018,,125
1998,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",2018,,151
2004,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",2018,,144
2011,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",2018,,122
2014,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",2018,,112
2018,Normal value,Units,Country Data,National_SDG_Report,Under-five mortality rate [3.2.1],,"Per 1,000 live births",2018,,79
