Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2007,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,,,Percent,2021,,39.9
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,,,Percent,2021,,37.5
2021,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,,,Percent,2021,,38.6
2007,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,2014,,55.0
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,2014,,56.8
2007,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,2014,,12.2
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,2014,,8.9
2007,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,2014,,40.2
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,2014,,37.7
2007,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,2014,,39.5
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,2014,,37.2
