Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,Degree of urbanisation,Education level,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,Urban,,Percent,,87.9
2018,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,Urban,,Percent,,89.5
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,Rural,,Percent,,48.8
2018,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,Rural,,Percent,,52.5
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,,Never attended an education programme / No schooling,Percent,,29.5
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,,Primary education,Percent,,65.4
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,,Secondary education (lower and upper secondary education),Percent,,91.9
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,,Tertiary education,Percent,,97.4
2006,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,,58.9
2011,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,,63.6
2014,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,,64.7
2018,Normal value,Units,Country Data,National_SDG_Report,Proportion of births attended by skilled health personnel [3.1.2],,,,Percent,,69.0
