Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_01,,Local currency,,20038.566
2017,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_01,,Local currency,,20960.865
2018,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_01,,Local currency,,22203.329
2019,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_01,,Local currency,,23243.662
2020,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_01,,Local currency,,23468.507
2021,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_01,,Local currency,,24960.496
2022,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_01,,Local currency,,27662.02
2023,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_01,,Local currency,,29609.383
2024,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_01,,Local currency,,32316.227
2016,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_02,,Local currency,,20038.566
2017,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_02,,Local currency,,20748.167
2018,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_02,,Local currency,,21568.8637
2019,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_02,,Local currency,,22318.389793
2020,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_02,,Local currency,,22376.407505
2021,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_02,,Local currency,,23123.523859
2022,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_02,,Local currency,,23987.628883
2023,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_02,,Local currency,,24790.578235
2024,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_02,,Local currency,,25664.361764
2017,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_03,,Percent,,3.541177
2018,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_03,,Percent,,3.955514
2019,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_03,,Percent,,3.475037
2020,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_03,,Percent,,0.259955
2021,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_03,,Percent,,3.338857
2022,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_03,,Percent,,3.736909
2023,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_03,,Percent,,3.347348
2024,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_03,,Percent,,3.52466
2016,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_04,,Local currency,,3797.304
2017,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_04,,Local currency,,3846.549
